CODE,ISOLATE_ID,ORIGINAL_SPECIES,REGION,SITE,ENVIRONMENT,SAMPLING_SOURCE,NATIONAL_SITE,LOCAL_SITE,REPLICATE,COLONY,ESBL,SOURCE_FILE,AM,AMC,AMI,AN,C,CF,CFA,CFO,CFT,CFV,CN,CPD,CPT,CTF,CTX,CZA,DO,ENR,FT,GEN,GM,IME,IPM,MAR,MRB,N,PRA,SXT,TE,SCORED_RESISTANCE,NUM_ANTIBIOTICS_TESTED,MAR_INDEX
VC_MDFTR3C1,Klebsiella pneumoniae,,BARMM,DAYAWAN,Fish,Fish Tilapia,Marawi,Dayawan,3.0,1.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,R,S,,S,R,R,,I,S,,R,S,S,,,S,R,I,S,,S,,S,,S,S,S,R,R,7,21,0.3333333333
VC_MDFTR3C4 ,Escherichia coli,,BARMM,DAYAWAN,Fish,Fish Tilapia,Marawi,Dayawan,3.0,4.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0
EC_MDFKR1C3,Klebsiella pneumoniae,,BARMM,DAYAWAN,Fish,Fish Kaolang,Marawi,Dayawan,1.0,3.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,I,,S,,S,,S,S,S,S,S,1,22,0.04545454545
EC_MDFKR1C4,Klebsiella pneumoniae,,BARMM,DAYAWAN,Fish,Fish Kaolang,Marawi,Dayawan,1.0,4.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,I,,S,,S,,S,S,S,S,S,1,22,0.04545454545
EC_MDFKR2C1,Escherichia coli,,BARMM,DAYAWAN,Fish,Fish Kaolang,Marawi,Dayawan,2.0,1.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0
EC_MDFKR2C4,Klebsiella pneumoniae,,BARMM,DAYAWAN,Fish,Fish Kaolang,Marawi,Dayawan,2.0,4.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,,S,R,I,S,,S,,S,,S,S,I,S,R,3,22,0.1363636364
EC_MDFKR2C6,Klebsiella pneumoniae,,BARMM,DAYAWAN,Fish,Fish Kaolang,Marawi,Dayawan,2.0,6.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,R,S,S,,S,,S,,S,S,S,S,,2,22,0.09090909091
EC_MDFKR3C1 ,Klebsiella pneumoniae,,BARMM,DAYAWAN,Fish,Fish Kaolang,Marawi,Dayawan,3.0,1.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.04545454545
EC_MDFKR3C2,Klebsiella pneumoniae,,BARMM,DAYAWAN,Fish,Fish Kaolang,Marawi,Dayawan,3.0,2.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,I,,S,,S,,S,S,S,S,S,1,22,0.04545454545
EC_MDFKR3C4,Escherichia coli,,BARMM,DAYAWAN,Fish,Fish Kaolang,Marawi,Dayawan,3.0,4.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,R,S,,S,R,S,,S,S,,S,S,S,,S,S,R,S,S,,S,,S,,S,S,S,S,R,4,22,0.1818181818
EC_MDFKR3C5,Escherichia coli,,BARMM,DAYAWAN,Fish,Fish Kaolang,Marawi,Dayawan,3.0,5.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,R,S,S,,S,,S,,S,S,S,S,I,1,22,0.04545454545
SAL_MDFKR3C4,Escherichia coli,,BARMM,DAYAWAN,Fish,Fish Kaolang,Marawi,Dayawan,3.0,4.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0
VC_MDFKR1C1,Escherichia coli,,BARMM,DAYAWAN,Fish,Fish Kaolang,Marawi,Dayawan,1.0,1.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,R,S,S,,S,,S,,S,S,S,S,I,1,22,0.04545454545
EC_MRDWR1C1,Klebsiella pneumoniae,,BARMM,GADONGAN,Water,Drinking Water,Marawi,Roque,1.0,1.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,R,S,,S,S,,S,S,S,,S,S,R,S,I,,I,,S,,S,S,S,R,R,5,22,0.2273
EC_MRDWR1C2,Klebsiella pneumoniae,,BARMM,GADONGAN,Water,Drinking Water,Marawi,Roque,1.0,2.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,R,S,S,,S,,S,,S,S,S,S,R,3,22,0.1364
EC_MRDWR3C14,Klebsiella pneumoniae,,BARMM,GADONGAN,Water,Drinking Water,Marawi,Roque,3.0,14.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,I,,S,,S,,S,S,S,S,S,1,22,0.0455
VC_MRDWR1C1,Klebsiella pneumoniae,,BARMM,GADONGAN,Water,Drinking Water,Marawi,Roque,1.0,1.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.0455
VC_MRDWR2C2,Enterobacter cloacae,,BARMM,GADONGAN,Water,Drinking Water,Marawi,Roque,2.0,2.0,,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,,R,,S,S,R,,S,S,,R,S,,,S,S,S,S,I,,S,,S,,S,,S,S,S,3,19,0.1579
EC_MRLWR1C3,Escherichia coli,,BARMM,GADONGAN,Water,Lake Water,Marawi,Roque,1.0,3.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,R,S,S,,S,,S,,S,S,S,S,R,2,22,0.0909
EC_MRLWR1C4,Escherichia coli,,BARMM,GADONGAN,Water,Lake Water,Marawi,Roque,1.0,4.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MRLWR1C6,Klebsiella pneumoniae,,BARMM,GADONGAN,Water,Lake Water,Marawi,Roque,1.0,6.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MRLWR1C9,Klebsiella pneumoniae,,BARMM,GADONGAN,Water,Lake Water,Marawi,Roque,1.0,9.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MRLWR1C10,Escherichia coli,,BARMM,GADONGAN,Water,Lake Water,Marawi,Roque,1.0,10.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,S,S,,S,I,I,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MRLWR1C11,Klebsiella pneumoniae,,BARMM,GADONGAN,Water,Lake Water,Marawi,Roque,1.0,11.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MRLWR1C13,Klebsiella pneumoniae,,BARMM,GADONGAN,Water,Lake Water,Marawi,Roque,1.0,13.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MRLWR1C16,Klebsiella pneumoniae,,BARMM,GADONGAN,Water,Lake Water,Marawi,Roque,1.0,16.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MRLWR1C20,Klebsiella pneumoniae,,BARMM,GADONGAN,Water,Lake Water,Marawi,Roque,1.0,20.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MRLWR2C1,Escherichia coli,,BARMM,GADONGAN,Water,Lake Water,Marawi,Roque,2.0,1.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MRLWR2C3,Escherichia coli,,BARMM,GADONGAN,Water,Lake Water,Marawi,Roque,2.0,3.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,I,,S,S,I,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,R,S,2,22,0.0909
EC_MRLWR2C7,Escherichia coli,,BARMM,GADONGAN,Water,Lake Water,Marawi,Roque,2.0,7.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,R,,S,S,R,,S,S,,S,S,,,,,S,S,S,,S,,S,,S,S,S,S,S,3,19,0.1579
EC_MRLWR2C10,Escherichia coli,,BARMM,GADONGAN,Water,Lake Water,Marawi,Roque,2.0,10.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,I,I,,S,S,,S,S,S,,S,S,R,I,S,,S,,S,,I,S,S,R,R,4,22,0.1818
EC_MRLWR2C11,Klebsiella pneumoniae,,BARMM,GADONGAN,Water,Lake Water,Marawi,Roque,2.0,11.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,I,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MRLWR2C17,Klebsiella pneumoniae,,BARMM,GADONGAN,Water,Lake Water,Marawi,Roque,2.0,17.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,I,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MRLWR3C12,Klebsiella pneumoniae,,BARMM,GADONGAN,Water,Lake Water,Marawi,Roque,3.0,12.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,I,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MRLWR3C16,Escherichia coli,,BARMM,GADONGAN,Water,Lake Water,Marawi,Roque,3.0,16.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MRLWR3C17,Escherichia coli,,BARMM,GADONGAN,Water,Lake Water,Marawi,Roque,3.0,17.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,R,S,S,,S,,S,,S,S,S,S,R,2,22,0.0909
EC_MRLWR3C20,Escherichia coli,,BARMM,GADONGAN,Water,Lake Water,Marawi,Roque,3.0,20.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,R,I,S,,S,,S,,S,S,S,S,R,3,22,0.1364
VC_MRLWR3C5,Enterobacter cloacae,,BARMM,GADONGAN,Water,Lake Water,Marawi,Roque,3.0,5.0,,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,,R,,S,S,R,,S,S,,R,S,,,S,S,S,S,S,,S,,S,,S,S,S,S,S,3,20,0.1500
EC_MRFTR1C2,Escherichia coli,,BARMM,GADONGAN,Fish,Fish Tilapia,Marawi,Roque,1.0,2.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MRFTR1C4,Klebsiella pneumoniae,,BARMM,GADONGAN,Fish,Fish Tilapia,Marawi,Roque,1.0,4.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,I,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MRFTR1C9,Klebsiella pneumoniae,,BARMM,GADONGAN,Fish,Fish Tilapia,Marawi,Roque,1.0,9.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,I,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MRFTR1C10,Klebsiella pneumoniae,,BARMM,GADONGAN,Fish,Fish Tilapia,Marawi,Roque,1.0,10.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,I,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MRFTR2C3,Klebsiella pneumoniae,,BARMM,GADONGAN,Fish,Fish Tilapia,Marawi,Roque,2.0,3.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MRFTR2C5,Klebsiella pneumoniae,,BARMM,GADONGAN,Fish,Fish Tilapia,Marawi,Roque,2.0,5.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MRFTR2C6,Escherichia coli,,BARMM,GADONGAN,Fish,Fish Tilapia,Marawi,Roque,2.0,6.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,S,S,,S,S,I,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MRFTR2C7,Escherichia coli,,BARMM,GADONGAN,Fish,Fish Tilapia,Marawi,Roque,2.0,7.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,S,S,,S,S,I,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MRFTR2C8,Escherichia coli,,BARMM,GADONGAN,Fish,Fish Tilapia,Marawi,Roque,2.0,8.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MRFTR2C10,Escherichia coli,,BARMM,GADONGAN,Fish,Fish Tilapia,Marawi,Roque,2.0,10.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MRFTR3C1,Escherichia coli,,BARMM,GADONGAN,Fish,Fish Tilapia,Marawi,Roque,3.0,1.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MRFTR3C2,Klebsiella pneumoniae,,BARMM,GADONGAN,Fish,Fish Tilapia,Marawi,Roque,3.0,2.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MRFTR3C3,Escherichia coli,,BARMM,GADONGAN,Fish,Fish Tilapia,Marawi,Roque,3.0,3.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MRFTR3C4,Klebsiella pneumoniae,,BARMM,GADONGAN,Fish,Fish Tilapia,Marawi,Roque,3.0,4.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MRFTR3C5,Escherichia coli,,BARMM,GADONGAN,Fish,Fish Tilapia,Marawi,Roque,3.0,5.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MRFTR3C6,Escherichia coli,,BARMM,GADONGAN,Fish,Fish Tilapia,Marawi,Roque,3.0,6.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,R,,S,S,R,,S,S,,R,S,,,,S,S,S,S,,S,,S,,S,S,S,S,S,4,20,0.2000
EC_MRFTR3C8,Escherichia coli,,BARMM,GADONGAN,Fish,Fish Tilapia,Marawi,Roque,3.0,8.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MRFTR3C11,Klebsiella pneumoniae,,BARMM,GADONGAN,Fish,Fish Tilapia,Marawi,Roque,3.0,11.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.0455
SG_MRFTR1C2,Enterobacter aerogenes,,BARMM,GADONGAN,Fish,Fish Tilapia,Marawi,Roque,1.0,2.0,,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,,R,,S,S,R,,S,S,,R,S,S,,S,S,R,S,I,,S,,I,,S,S,S,S,R,5,21,0.2381
VC_MRFTR1C2,Escherichia coli,,BARMM,GADONGAN,Fish,Fish Tilapia,Marawi,Roque,1.0,2.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,I,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,R,2,22,0.0909
VC_MRFTR3C1,Escherichia coli,,BARMM,GADONGAN,Fish,Fish Tilapia,Marawi,Roque,3.0,1.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MRFKR1C3,Escherichia coli,,BARMM,GADONGAN,Fish,Fish Kaolang,Marawi,Roque,1.0,3.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MRFKR1C5,Klebsiella pneumoniae,,BARMM,GADONGAN,Fish,Fish Kaolang,Marawi,Roque,1.0,5.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MRFKR2C1,Escherichia coli,,BARMM,GADONGAN,Fish,Fish Kaolang,Marawi,Roque,2.0,1.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MRFKR2C2,Klebsiella pneumoniae,,BARMM,GADONGAN,Fish,Fish Kaolang,Marawi,Roque,2.0,2.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,R,,S,S,R,,R,R,,R,R,,,,,R,I,I,,S,,R,,S,S,S,R,R,11,22,0.5000
EC_MRFKR2C5,Klebsiella pneumoniae,,BARMM,GADONGAN,Fish,Fish Kaolang,Marawi,Roque,2.0,5.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MRFKR2C7,Escherichia coli,,BARMM,GADONGAN,Fish,Fish Kaolang,Marawi,Roque,2.0,7.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,I,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,R,S,2,22,0.0909
EC_MRFKR3C3,Escherichia coli,,BARMM,GADONGAN,Fish,Fish Kaolang,Marawi,Roque,3.0,3.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,R,S,S,,S,,S,,S,S,S,S,R,3,22,0.1364
EC_MRFKR3C6,Klebsiella pneumoniae,,BARMM,GADONGAN,Fish,Fish Kaolang,Marawi,Roque,3.0,6.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MRFKR3C7,Escherichia coli,,BARMM,GADONGAN,Fish,Fish Kaolang,Marawi,Roque,3.0,7.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MRFKR3C9,Klebsiella pneumoniae,,BARMM,GADONGAN,Fish,Fish Kaolang,Marawi,Roque,3.0,9.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.0455
VC_MRFKR1C3,Klebsiella pneumoniae,,BARMM,GADONGAN,Fish,Fish Kaolang,Marawi,Roque,1.0,3.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.0455
VC_MRFKR2C5,Klebsiella pneumoniae,,BARMM,GADONGAN,Fish,Fish Kaolang,Marawi,Roque,2.0,5.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.0455
VC_MRFKR3C2,Enterobacter cloacae,,BARMM,GADONGAN,Fish,Fish Kaolang,Marawi,Roque,3.0,2.0,,1NET_P2-AMR_BARMM Region - Copy - LOR-GADONGAN.csv,,R,,S,I,R,,S,S,,R,S,,,S,,S,S,I,,S,,S,,S,S,S,S,S,3,19,0.1579
EC_MKDWR1C1,Enterobacter cloacae,,BARMM,TUCA KIALDAN,Water,Drinking Water,Marawi,K,1.0,1.0,,1NET_P2-AMR_BARMM Region - Copy - LOR-TUCA KIALDAN.csv,,R,,S,S,R,,S,S,,R,S,,,S,S,S,S,S,,S,,S,,S,S,S,S,S,3,20,0.1500
EC_MKDWR1C3,Klebsiella pneumoniae,,BARMM,TUCA KIALDAN,Water,Drinking Water,Marawi,K,1.0,3.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-TUCA KIALDAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MKDWR1C7,Escherichia coli,,BARMM,TUCA KIALDAN,Water,Drinking Water,Marawi,K,1.0,7.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-TUCA KIALDAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,R,S,S,,S,,S,,S,S,S,S,R,3,22,0.1364
EC_MKDWR2C3,Escherichia coli,,BARMM,TUCA KIALDAN,Water,Drinking Water,Marawi,K,2.0,3.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-TUCA KIALDAN.csv,R,S,,S,S,S,,S,S,,S,S,,,S,S,R,S,S,,S,,S,,S,S,S,R,R,4,21,0.1905
EC_MKDWR2C4,Klebsiella pneumoniae,,BARMM,TUCA KIALDAN,Water,Drinking Water,Marawi,K,2.0,4.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-TUCA KIALDAN.csv,R,S,,S,S,I,,S,S,,S,S,S,,,S,S,S,S,,S,,S,,S,S,S,R,S,2,21,0.0952
EC_MKDWR2C8,Escherichia coli,,BARMM,TUCA KIALDAN,Water,Drinking Water,Marawi,K,2.0,8.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-TUCA KIALDAN.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MKDWR2C9,Escherichia coli,,BARMM,TUCA KIALDAN,Water,Drinking Water,Marawi,K,2.0,9.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-TUCA KIALDAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,R,S,S,,S,,S,,S,S,S,S,R,3,22,0.1364
EC_MKDWR2C10,Escherichia coli,,BARMM,TUCA KIALDAN,Water,Drinking Water,Marawi,K,2.0,10.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-TUCA KIALDAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,R,S,S,,S,,S,,S,S,S,R,R,4,22,0.1818
EC_MKDWR3C1,Klebsiella pneumoniae,,BARMM,TUCA KIALDAN,Water,Drinking Water,Marawi,K,3.0,1.0,POS,1NET_P2-AMR_BARMM Region - Copy - LOR-TUCA KIALDAN.csv,R,S,,S,S,R,,R,R,,R,R,R,,,S,S,I,I,,S,,S,,S,S,S,R,S,8,21,0.3810
EC_MKDWR3C2,Escherichia coli,,BARMM,TUCA KIALDAN,Water,Drinking Water,Marawi,K,3.0,2.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-TUCA KIALDAN.csv,S,S,,S,S,I,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MKDWR3C4,Escherichia coli,,BARMM,TUCA KIALDAN,Water,Drinking Water,Marawi,K,3.0,4.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-TUCA KIALDAN.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
